등록번호,청구기호,소장/대여,제목,분야,유형,연도,판형,면수,부수,종이,인쇄 및 후가공,제본,ISBN/ISSN,저자/작가,기획자/편집자,사진가/일러스트레이터,디자이너,발행처,발행일,후원,원본경로
1845,60 J 020,김종소리,건축평단 25,도시·건축,정기간행물,2024,152×223,288,700,인스퍼 러프; 미스틱; 클라우드,오프셋 인쇄; 표지에 라미네이팅; 표지에 코팅,무선 제본,979-11-987508-1-5,김인성; 김현섭; 남소영; 박영태; 박정현; 백승한; 송종열; 이경창; 임성훈; 정만영; 지정우; 현명석,정귀원; 박영태,,물질과 비물질,제대로랩,2024.11.08.,,00/2024년 11월작업진행/김종소리-겅축평단(25호)20241113
1846,60 J 021,김종소리,건축평단 26,도시·건축,정기간행물,2025,152×223,296,500,인스퍼 러프; W라이트; 미스틱,오프셋 인쇄; 표지에 라미네이팅; 표지에 코팅,무선 제본,979-11-987508-5-3,강난형; 김영철; 김인성; 박영태; 송종열; 송하엽; 이지형; 이희준; 임성훈; 전상현; 정만영; 조순익; 현명석,정귀원; 박영태,,물질과 비물질,제대로랩,2025.06.16.,,00/2025년 06월작업진행/김종소리-건축평단 026호20250613
1847,60 J 022,O,건축평단 27,도시·건축,정기간행물,2026,152×223,232,500,인스퍼 러프; 미스틱; 미색 모조,오프셋 인쇄; 표지에 라미네이팅; 표지에 코팅,무선 제본,979-11-987508-9-1,현명석; 송률; 크리스티안 슈바이처; 김사라; 전재우; 오연주; 정해욱; 황동욱; 김광수; 안상수; 박성용; 이경창; 박영태; 임윤택; 정평진; 임성훈; 정의엽; 정만영; 김현섭; 김인성; 백승한; 조순익,정귀원; 박영태,,물질과 비물질,제대로랩,2026.02.02.,,00/2026년  01월작업진행/김종소리-건축평단027호20260130
1848,60 J 023,O,(협업자들)(고안하는 손)(허용오차) — Society of Architecture annual 2023,도시·건축,정기간행물,2023,125×200,240,500,티엠보스; 그린라이트; 랑데뷰; 모조지,오프셋 인쇄; 별색 인쇄; 표지에 박; 표지에 형압; 귀돌림,사철 제본,979-11-986079-0-4,홍승은; 한주희; 하수경; 정시현; 임하은; 이현서; 이치훈; 이주형; 이정연; 이영지; 이민규; 신률명; 송가현; 박지혜; 박제현; 박연; 박신영; 김효은; 김윤정; 김보람; 김민지; 강예린; 황지은; 최영준; 정유리; 김종범; 윤주선; 정동구; 채아람,건축사사무소 SoA; 이민규,신경섭; 신해수,이민규,건축사사무소 SoA,2023.02.28.,,이민규/이민규(SoA)-애뉴얼 북20240222
1849,60 J 024,O,(비동시성)(일대일)(랜드마크) — Society of Architecture annual 2024,도시·건축,정기간행물,2025,125×200,240,500,티엠보스; 프런티어 터프; 아티젠; 모조지,오프셋 인쇄; 별색 인쇄; 표지에 박; 귀돌림,사철 제본; 오타바인딩,979-11-986079-1-1,강예린; 곽혜정; 김민정; 김보람; 김범석; 김윤지; 김윤정; 김지원; 박신영; 박연; 박제현; 송가현; 신률명; 이민규; 이정연; 이영지; 이주형; 이치훈; 이현서; 이현정; 정시현; 최대한; 하수경; 한주희; 최영준; 김진환,이민규; 이주형,박도현,이민규,건축사사무소 SoA,2025.02.15.,,00/2025년 02월작업진행/이민규(SoA)-애뉴얼 북20250217
1850,60 J 025,이민규,LIFETHINGS IRREGULAR Vol.0 — 말(로) 하는 건축가,도시·건축,정기간행물,2025,148×210,48,1000,디자이너스칼라; 모조지,오프셋 인쇄; 별색 인쇄,중철 오메가 제본,,양수인; 박세진; 황남인; 김시홍; 김은재,김은재,,김은재,삶것,2025.10.26.,,00/2025년 10월작업진행/삶것-말로하는건축가20251010
1851,60 J 026,김은재,LIFETHINGS IRREGULAR Vol.1 — Construction Documents: Monuments to the Veterans of the Korean War,도시·건축,정기간행물,2026,148×210,44,500,모조지; 그문드 코튼,오프셋 인쇄; 별색 인쇄,중철 오메가 제본; 삽지; 접지,979-11-995331-1-0,양수인; Ahyoung Lee; 권태훈,Ahyoung Lee; 김은재,신경섭,김은재,삶것,2026.03.01.,,00/2026년  02월작업진행/삶것-LIFETHINGS IRREGULAR20260212
1852,,,A papers 2018 SS,도시·건축,정기간행물,2018,128×188,184,,,,,,,강소민; 박하윤; 백조은; 송윤선; 윤연식; 윤예림; 윤은주; 이동렬; 최지현,,강신,아키렉쳐,2018.08.09.,,010개인작업자/최지현-페이퍼스도록3호20190228/강신-페이퍼스도록2호20180910
1853,,,A papers,도시·건축,정기간행물,2019,128×188,160,,,,,,황재필,,Heezo,최지현,아키렉쳐,2019.02.28.,,010개인작업자/최지현-페이퍼스도록3호20190228
1854,,,"절정, 시인 이육사",문학,도록,2024,180×251,84,200,인스퍼 러프,오프셋 인쇄; 표지에 라미네이팅,무선 제본; 날개,,이육사; 홍용희,,,물질과 비물질,대산문화재단,2024.09.05.,,01거래처/김종소리/김종소리-이육사20240827
1855,70 A 001,김종소리,아주 오래 걱정한 미래,문학; 미술,도록,2025,180×251,72,200,인스퍼 에코,오프셋 인쇄; 표지에 코팅,무선 제본; 날개,,양경언,,,물질과 비물질,대산문화재단,2025.09.18.,,00/2025년 09월작업진행/김종소리-아주오래걱정한미래20250911
1856,,,잠 못 이루는 사람들,문학,도록,2015,135×190,136,,모조지; 아트지,오프셋 인쇄,,978-89-94027-50-0,구효서; 박성원; 안경수; 염지혜; 이부록; 정영문; 하태범; 해이수,박선정; 배세은,박정근,김성구,한무숙문학관,2015.12.17.,서울특별시,김성구/김성구-잠 못 이루는 사람들20160113
1857,,,모델,문학,도록,2022,180×250,92,100,올드밀; 뉴플러스; 모조지,오프셋 인쇄,무선 제본,979-11-980809-9-8,최주원; 윤정의,방수지,CJY Art Studio,임원우,개오망 크리에이티브 스튜디오,2022.12.01.,한국문화예술위원회,임원우(프룻)/임원우-GCS 윤정의 도록20221206
1858,,,고니,문학,도록; 독립출판물,2024,208×283,44,100,리프블루; 클라우드,인디고 출력,중철 제본,,고니,모희,양이언,원정인,별관,2024.06.13.,,00/2024년 11월작업진행/원정인-원인앤이펙트 고니 도록(인디고)20241106
1859,70 B 001,O,에로스와 꿈: 2014 서울국제작가축제 작품집,문학,작품집,2014,150×210,268,200,모조지; 몽블랑,오프셋 인쇄; 표지에 실크스크린,노출 사철 제본; 자켓,,,,,도한결,한국문학번역원,2014.09.21.,,모조산업(도한결)/도한결-Anthology_인쇄용
1860,70 C 001,O,녹스,문학,아티스트북,2022,133×210,196,1600,모조지; 미색 모조,오프셋 인쇄; 표지에 라미네이팅,아코디언 제본,979-11-86372-97-5,앤 카슨,박지홍; 이수경; 신해욱,,전용완,봄날의책,2022.08.31.,,017이응(전용완)/이응(전용완)-봄날의책(nox)20220616
1861,70 C 002,O,플로트,문학,아티스트북,2023,171×235,332,2300,모조지,오프셋 인쇄,중철 제본; 케이스,979-11-92884-01-1,앤 카슨,박지홍; 윤희영; 이수경,,전용완,봄날의책,2023.03.13.,,017이응(전용완)/이응(전용완)-봄날의팩 플로트20230207
1862,70 C 003,O,The Figure in the Carpet,문학; 디자인,아티스트북,2024,190×290,368,350,문켄 폴라; 문켄 폴라 러프; 그문드 컬러매트,오프셋 인쇄; 표지에 박,사철 제본,979-11-978788-2-4,이승현,이승현,,AABB,AABB,2024.11.11.,,00/2024년 11월작업진행/AABB-책자6종20241104/AABB-1 Figure(사철무선)20241101
1863,,,가벼운 마법진,문학,아티스트북; 독립출판물,2016,120×155,180,,문켄 폴라,오프셋 인쇄,무선 제본,,,강주영,,강주영,강주영,2016.12.16.,,010개인작업자/강주영
1864,,,상자 이야기,문학,아티스트북; 독립출판물,2024,80×120,36,300,랑데뷰; 매직칼라; 모조지,표지에 형압,,979-11-981040-5-2,신승민; 나하늘,신승민,나하늘,나하늘,글라프레스,2024.08.31.,,01거래처/글라프레스-상자이야기20240819
1865,70 C 004,김종소리,존D: Book of Sondergut,문학,아티스트북,2021,165×115,216,500,네오; 아티젠,오프셋 인쇄; 표지에 박; 표지에 에폭시,노출 사철 제본,979-11-976317-0-2,정지돈,박지수,유영진; 최재훈,물질과 비물질,디.존,2021.11.18.,,보스토크프레스/보스토크프레스-존D20211027
1866,70 C 005,이주현,현상이 일정한 목표를 향하여 나아가는 쪽의 뒤에 남은 자취,문학,아티스트북,2021,109×153,104,800,비비칼라; 모조지; 그문드 컬러매트; 씨에라,오프셋 인쇄; 표지에 박; 표지에 형압,무선 제본; 날개; 삽지,979-11-976091-4-5,이주현,이주현,,이주현,몽타주 프레스,2021.10.15.,,몽타주프레스/몽타주프레스(이주현)-현상이 일정한 방향을 향하여20211014
1867,,,알파 오메가 I,문학; 디자인,아티스트북,2021,148×210,44,300,악틱매트,오프셋 인쇄,중철 제본,979-11-976756-0-7,김영서; 권정현; 서채연; 이다은; 이소리; 이한별; 윤주형; 양보미; 박가람; 박정은; 백송이; 최민호; 하재민,성재혁,,최민호,섞어짜기,2021.11.30.,,01거래처/섞어짜기(최민호)-알파오메가20211123
1868,70 C 006,O,이 편지는 연극에서 시작되어,문학; 공연·영화,아티스트북,2026,150×220,,300,아레나; 새빌로우플레인,오프셋 인쇄; 별색 인쇄; 자켓에 실크스크린,낱장 인쇄물; 자켓,979-11-991751-1-2,목소; 최승미; 이예지; 송섬별; 송지인; 조연희; 이지수; 김종우; 임서진,김진아,,김진아; 정김소리,지금아카이브,2026.03.20.,,이사님 데스크톱/2026년  03월작업진행/지금아카이브-이 편지는20260319
1869,,,최정훈: 암시,문학,아티스트북,2016,100×63,88,,,,,,최정훈,,,양민영,헬리콥터 북스,2016.11.25.,,010개인작업자/양민영-카드44종20161119
1870,70 C 007,이경수,문학적으로 걷기,문학; 미술,아티스트북; 독립출판물,2016,105×170,48,550,문켄 프린트; 문켄 프린트 크림,오프셋 인쇄,중철 제본; 날개,,김뉘연; 전용완,,,,,2016.09.20.,,02워크룸1층/2016/전용완-문학적으로걷기20160920
1871,,,수사학—장식과 여담,문학; 미술,아티스트북; 독립출판물,2017,140×205,16,500,바르니,오프셋 인쇄,신문 접지,,김뉘연; 전용완,,,전용완,,2017.07.24.,,02워크룸1층/2017/전용완-소책자(수사학) 제작20170724
1872,,,마침,문학; 공연·영화,아티스트북,2019,108×178,240,500,클라우드; 앤틱블랙,오프셋 인쇄,사철 제본,,김뉘연; 전용완,,김태경,전용완,,,문화체육관광부; 서울특별시; 서울문화재단,017이응(전용완)/이응(전용완)-마침20191007
1873,,,어떤 읽기,문학,진; 독립출판물,2024,148×210,76,500,E라이트,오프셋 인쇄,중철 실 제본,,최진규; 한윤아; 김민희; 김영글; 이한범,최진규; 한윤아,이한범,김민희,어떤출판연구회,2024.08.16.,,01거래처/어떤출판연구회-어떤 읽기20240810
1874,,,Gozo 01,문학,진; 독립출판물,2026,100×140,124,300,플라이크; 모조지,오프셋 인쇄; 표지에 박; 표지에 실크스크린,중철 실 제본; 자켓,979-11-997214-0-1,김나희; 멜트미러; 배시은; 영이; 오천석; 윤이람; 현호정; 황휘,오천석,,정소영,업체eobchae,2026.03.14.,김희수아트센터,00/2026년  02월작업진행/정소영-두산갤러리20260223
1875,70 D 001,O,삐끗 1호,문학,진; 독립출판물,2014,210×297,96,,CCP; 그린라이트; 뉴플러스,오프셋 인쇄,,979-11-953259-0-0,김보용; 김상숙; 김영지; 김희정; 이미래; 이진영; 최현지; 홍영근; 황웅태,유령출판사,,김보용; 안종민,유령출판사,2014.09.18.,,010개인작업자/유령출판사-삐끗Print20140918
1876,,,티타임 푸가,문학,진; 독립출판물,2018,148×210,16,200,문켄 프린트 크림,오프셋 인쇄,중철 제본,,구송이,,,,,,,010개인작업자/구송이-티타임푸가(중철)20180717
1877,,,"굿모닝, 피스!",문학,자료집,2025,152×225,,,,,,979-11-980511-2-7,김건호; 유가현; 이한나; 조율; 최우석; 김담; 김진선; 문슬아; 문아영,문슬아,,박미루,고성문화재단,2025.11.17.,,00/2025년 11월작업진행/그래피그래피-굿모닝 피스20251107
1878,70 G 001,O,극작수업 I — 배삼식,문학; 공연·영화,자료집,2012,140×186,32,,,,,979-11-950693-3-0,배삼식,최영동,,워크룸,국립극단,2012.06.01.,,"03워크룸2층/2013/국립극단 극작수업 1, 2, 4"
1879,70 G 002,O,극작수업 II — 고연옥,문학; 공연·영화,자료집,2012,140×186,48,,,,,979-11-950693-4-7,고연옥,최영동,,워크룸,국립극단,2012.06.01.,,"03워크룸2층/2013/국립극단 극작수업 1, 2, 4"
1880,70 G 003,O,극작수업 III — 최치언,문학; 공연·영화,자료집,2013,140×186,40,500,리브스; 미색 모조,오프셋 인쇄,,979-11-950693-9-2,최치언,허영균,,워크룸,국립극단,2013.10.15.,,03워크룸2층/2013/국립극단 극작수업 3
1881,70 G 004,O,극작수업 IV — 김지훈,문학; 공연·영화,자료집,2013,140×186,44,,,,,979-11-85389-08-0,김지훈,허영균,,워크룸,국립극단,2013.12.30.,,"03워크룸2층/2013/국립극단 극작수업 1, 2, 4"
1882,,,극작수업 V — 정의신,문학; 공연·영화,자료집,2014,140×186,40,500,리브스; 모조지; 미색 모조,오프셋 인쇄,,979-11-85389-11-0,정의신,허영균,,워크룸,국립극단,2014.05.30.,,03워크룸2층/2014/국립극단 극작수업 5
1883,,,극작수업 VI — 이윤택,문학; 공연·영화,자료집,2014,140×186,32,300,리브스; 미색 모조,오프셋 인쇄,무선 제본; 날개,979-11-85389-18-9,이윤택,남궁경,,워크룸,국립극단,2014.12.31.,,03워크룸2층/2015/7.극작수업6권 국립극단
1884,70 G 005,O,극작수업 VII — 김광림,문학; 공연·영화,자료집,2015,140×186,28,500,리브스; 미색 모조,오프셋 인쇄,무선 제본,979-11-85389-20-2,,남궁경,,워크룸,국립극단,2015.07.01.,,03워크룸2층/2015/4  국립극단 극작수업 7
1885,,,예술가청소년창작벨트 희곡집 2015,문학; 공연·영화,단행본,2016,175×250,176,400,모조지,오프셋 인쇄,무선 제본,,,,,강경탁,국립극단,2016.12.02.,,05강경탁과 페도라/2016/국립극단 희곡집20161206
1886,,,예술가청소년창작벨트 희곡집 2016,문학; 공연·영화,단행본,2017,175×250,144,400,모조지; 그린라이트,오프셋 인쇄,무선 제본,,,,,강경탁; 장윤정,국립극단,2017.12.02.,,05강경탁과 페도라/2017/국립극단 희곡집
1887,,,예술가청소년창작벨트 희곡집 2017,문학; 공연·영화,단행본,2018,175×250,148,400,모조지; 그린라이트,오프셋 인쇄,무선 제본,,,,,강경탁; 장윤정,국립극단,2018.04.27.,,05강경탁과 페도라/2018/국립극단 희곡집 2017
1888,,,예술가청소년창작벨트 희곡집 2018,문학; 공연·영화,단행본,2019,175×250,196,400,모조지; 그린라이트,오프셋 인쇄,무선 제본,,,,,강경탁; 장윤정,국립극단,2019.03.20.,,05강경탁과 페도라/2019/국립극단-2018희곡집20190322
1889,,,2021 청소년극 창작벨트 희곡,문학; 공연·영화,단행본,2021,138×210,80,,,,,,,박성연; 김민주,,파이카,국립극단,2021.11.26.,,파이카/파이카-창작벨트 희곡집20211124
1890,,,청소년극 창작벨트(연구소),문학; 공연·영화,단행본,2023,148×200,74,400,인스퍼 러프,오프셋 인쇄; 별색 인쇄,무선 제본; 날개,,,최하정,,오디너리피플,국립극단,2023.11.27.,,01거래처/국립극단/국립극단-청소년극 창작벨트(연구소)2종20231127
1891,70 I 001,O,여름 모래 정원 괴담,문학,단행본,2026,125×205,72,400,인스퍼 에코; 그린라이트,오프셋 인쇄; 별색 인쇄; 표지에 코팅; 표지에 에폭시,무선 제본,,도은,정한솔; 김현지,,양으뜸,국립어린이청소년극단,2026.04.24.,,양으뜸-국립극단 청소년극 희곡집20260414/
1892,70 I 002,O,프랙처,문학,단행본,2026,125×205,96,400,인스퍼 에코; 그린라이트,오프셋 인쇄; 별색 인쇄; 표지에 코팅; 표지에 에폭시,무선 제본,,예반디,정한솔; 김현지,,양으뜸,국립어린이청소년극단,2026.04.24.,,양으뜸-국립극단 청소년극 희곡집20260414/
1893,70 I 003,이경민,보통의 우리,문학,단행본,2021,120×190,168,500,큐리어스 매터; 밍크,별색 인쇄; 자켓에 실크스크린,노출 사철 제본; 자켓,979-11-976502-0-8,박서련; 조우리; 한정현; 황모과,손영민,,플락플락,인천광역시 영상위원회; 디아스포라영화제,2021.12.03.,,플락플락(이경민)/플락플락(이경민)-보통의 우리20211130
1894,70 I 004,O,2014 서울국제작가축제 에세이집,문학,단행본,2014,150×210,176,300,모조지; 몽블랑,오프셋 인쇄,노출 사철 제본; 자켓,,,,,도한결,한국문학번역원,2014.09.21.,,모조산업(도한결)/도한결-에세이
1895,,,천상을 향한 악동들의 연주,문학,단행본,2018,210×230,36,1500,스노우지,오프셋 인쇄; 표지에 코팅,무선 제본; 날개,,김동석,,,한빛디자인,영은미술관,,,01거래처/한빛디자인/한빛디자인-도흥록_동화책20181005
1896,70 I 005,정해리,여운혜: 혼자 한 사랑,문학,단행본,2024,200×280,224,300,메탈팩보드; 스노우지; 씨에라,오프셋 인쇄; 표지에 UV 출력,무선 제본,979-11-989765-1-2,여운혜,여운혜,여운혜; 조준용,슈퍼샐러드스터프,인가희갤러리,2024.10.31.,예술경영지원센터; 문화체육관광부,00/2024년 10월작업진행/SUPERSALADSTUFF(정해리)-혼자한사랑20241022
1897,,,나는 악마가 될게요,문학,단행본,2026,128×205,188,500,랑데뷰; 미색 모조; 밍크,오프셋 인쇄; 표지에 코팅,무선 제본; 날개,979-11-90001-19-9,하동중앙중학교 아이들,최하나,니나킴,3people,하동중앙중학교,2026.01.31.,,00/2026년  01월작업진행/돌창고-나는악마가될게요_하동중앙중학교20260130
1898,,,장르는 글쓰기,문학,단행본,2022,125×190,344,,,,무선 제본,979-11-977267-0-5,강우진; 김신; 김연주; 김재은; 문박예진; 송하영; 엄혜진; 이세형; 이채훈; 임유리; 조은지; 차도하,문지혁; 문박예진; 차도하,,김영재,한국예술종합학교발전재단,2022.02.28.,,010개인작업자/김영재-장르는 글쓰기20220214
1899,70 I 006,사월의눈,한 권에 담은 264 작은 문학관,문학,단행본,2016,,,,,,,979-11-85136-27-1,박현수,전가경; 정재완,영상서랍; 오피스아키텍톤,전가경; 정재완,도서출판 울력,2016.06.10.,,010개인작업자/이육사작은문학관
1900,,,아름다운 인연,문학,단행본,2019,148×210,312,,,,사철 제본; 각양장,,장충식,김혜자; 진현옥,,디자인54,도서출판 윤진,2019.12.10.,,06김녕만과 윤진/윤진-아름다운 인연 출력용20191202/아름다운인연 2쇄용 출력 원고
1901,70 I 007,O,시골뜨기 도시생각,문학,단행본,2021,145×200,248,,,,,979-11-90985-03-1,유병권,윤세영; 진현옥,유신혜,조의환,도서출판 윤진,2021.01.05.,,06김녕만과 윤진/윤진-유병권 단행본
1902,70 I 008,O,도밍고,문학,단행본; 독립출판물,2026,,,,,,,,,,,,드래프트앤월드,,,
1903,,,라이프집 에세이 ｢일기집｣,문학,단행본,2024,125×200,112,300,메가벌키; 프런티어 터프; 시로에코; 미색 모조,오프셋 인쇄; 별색 인쇄,무선 제본,,임지선; 김신회; 김민주; 민용준; 단단; 안수향; Dora Kim; 김미리; 황의정; 김해서; 정우성; 조한별; 김혜원; 임나리; 스탠딩 에그 2호,김해서,,박재형,라이프집,2024.07.01.,,01거래처/그래피그래피/그래피그래피-라이프집20240620
1904,,,읽거나 말거나,문학,단행본,2018,140×220,458,700,클라우드; 아코프린트; 매직칼라,오프셋 인쇄; 별색 인쇄; 표지에 바니시 코팅,무선 제본; 날개,979-11-86372-54-8,비스와바 쉼보르스카,박지홍; 조윤형,,전용완,봄날의책,2018.08.11.,,017이응(전용완)/이응(전용완)-봄날의책 읽거나 말거나_20220224
1905,,,나와 마주하는 시간,문학,단행본,2019,120×205,116,1000,아코프린트; 아도니스 러프; 스펙트라,오프셋 인쇄; 표지에 바니시 코팅; 표지에 박,무선 제본; 날개,979-11-86372-63-0,라이너 쿤체,박지홍,,전용완,봄날의책,2019.03.30.,,017이응(전용완)/이응(전용완)-봄날의책 나와 마주하는 시간 (4쇄)_20230127
1906,70 I 009,O,아네모네,문학,단행본,2019,120×205,106,1000,문켄 프린트 크림; 올드밀; 앤틱블랙,오프셋 인쇄; 표지에 바니시 코팅; 표지에 박,무선 제본; 날개,979-11-86372-70-8,성동혁; Мария Чой,박지홍,,전용완,봄날의책,2019.09.12.,,017이응(전용완)/이응(전용완)-봄날의책] 아네모네 (3쇄)20230214
1907,70 I 010,O,처음 가는 마을,문학,단행본,2019,120×205,192,1000,클라우드; 올드밀; 앤틱블랙,오프셋 인쇄; 표지에 바니시 코팅; 표지에 박,무선 제본; 날개,979-11-86372-61-6,이바라기 노리코,박지홍,,전용완,봄날의책,2019.01.31.,,017이응(전용완)/이응(전용완)-봄날의책 처음 가는 마을 (4쇄)20221014
1908,70 I 011,,"가만히, 걷는다",문학,단행본,2021,140×220,280,1000,아도니스 러프; 티엠보스; 매직칼라,오프셋 인쇄; 표지에 바니시 코팅; 표지에 박,무선 제본; 날개,979-11-86372-84-5,신유진,박지홍,,전용완,봄날의책,2021.05.13.,,"017이응(전용완)/이응(전용완)-봄날의책 가만히, 걷는다_20220223"
1909,70 I 012,O,저는 이곳에 있지 않을 거예요,문학,단행본,2021,120×205,736,1300,아도니스 러프; 아코프린트; 앤틱블랙,오프셋 인쇄; 자켓에 바니시 코팅; 자켓에 박,사철 제본; 둥근양장; 자켓; 헤드밴드; 가름끈,979-11-86372-90-6,앤 섹스턴,박지홍; 주리빈,,전용완,봄날의책,2021.11.26.,,017이응(전용완)/이응(전용완)-봄날의책(저는 이곳에 있지 않을 거예요)20211027
1910,,,데모,문학,단행본,2022,120×205,132,500,아도니스 러프; 올드밀; 매직칼라,오프셋 인쇄; 표지에 바니시 코팅; 표지에 박,무선 제본; 날개,979-11-86372-95-1,하혜희,박지홍,,전용완,봄날의책,2022.05.23.,,017이응(전용완)/이응(전용완)-봄날의책 데모2쇄20220905
1911,,,스미기에 좋지,문학,단행본,2022,120×205,148,1000,아도니스 러프; 아라벨; 매직칼라,오프셋 인쇄; 표지에 바니시 코팅; 표지에 박,무선 제본; 날개,979-11-86372-99-9,김복희,박지홍,,전용완,봄날의책,2022.12.15.,서울문화재단,017이응(전용완)/이응-봄날의책 스미기에 좋지 (2판)20221124
1912,70 I 013,O,스킨스카이,문학,단행본,2022,120×205,242,1700,아도니스 러프; 올드밀; 매직칼라,오프셋 인쇄; 표지에 바니시 코팅; 표지에 박,사철 무선 제본; 날개,979-11-86372-96-8,성다영,박지홍,,전용완,봄날의책,2022.07.30.,서울특별시; 서울문화재단,017이응(전용완)/이응(전용완)-봄날의책 스킨스카이20220704
1913,,,은엉겅퀴,문학,단행본,2022,120×205,182,1700,아도니스 러프; 아코프린트; 스펙트라,오프셋 인쇄; 별색 인쇄; 표지에 바니시 코팅; 표지에 박,사철 무선 제본; 날개,979-11-86372-93-7,라이너 쿤체,박지홍,,전용완,봄날의책,2022.04.18.,,017이응(전용완)/이응(전용완)-봄날의책 은엉겅퀴_20220321
1914,,,직업전선,문학,단행본,2022,140×220,220,1700,아도니스 러프; 캐빈보드; 매직칼라,오프셋 인쇄,무선 제본; 날개,979-11-86372-94-4,송승언,박지홍,,전용완,봄날의책,2022.05.19.,,017이응(전용완)/이응(전용완)-봄날의책 직업 전선20220502
1915,70 I 014,O,한여름 손잡기,문학,단행본,2022,120×205,112,1200,올드밀; 문켄 프린트 크림; 매직칼라,오프셋 인쇄; 표지에 바니시 코팅; 표지에 박,무선 제본; 날개,979-11-86372-89-0,권누리,박지홍; 주리빈,,전용완,봄날의책,2022.01.31.,대산문화재단,017이응(전용완)/이응(전용완)- 봄날의책 한여름 손잡기20220107
1916,70 I 015,O,뉴서울파크 젤리장수 대학살 (안전가옥 오리지널 1),문학,단행본,2019,128×195,280,8000,랑데뷰; 모조지; 클라우드; 매직칼라,오프셋 인쇄; 별색 인쇄; 표지에 코팅; 표지에 에폭시,무선 제본,979-11-963470-4-8,조예은,이혜정,최지욱,박연미,안전가옥,2019.06.19.,,안전가옥/안전가옥(박연미)-뉴서울파크(젤리장수 대학살)4쇄20200820
1917,,,인스타 걸 (안전가옥 오리지널 2),문학,단행본,2019,128×195,192,,,오프셋 인쇄; 표지에 박; 표지에 형압,,979-11-90174-64-0,김민혜,남은경,,박연미,안전가옥,2019.12.17.,,안전가옥/안전가옥-인스타걸20191210
1918,70 I 016,이경민,호랑공주의 우아하고 파괴적인 성인식 (안전가옥 오리지널 3),문학,단행본,2020,128×195,284,3000,랑데뷰; 클라우드; 매직칼라,오프셋 인쇄; 표지에 코팅; 표지에 박,무선 제본; 날개,979-11-90174-66-4,홍지운,김미래,우연식,이경민,안전가옥,2020.02.03.,,안전가옥/안전가옥(이경민)-호랑공주20200123
1919,70 I 017,O,선샤인의 완벽한 죽음 (안전가옥 오리지널 4),문학,단행본,2020,128×195,368,3500,랑데뷰; 클라우드; 매직칼라,오프셋 인쇄; 별색 인쇄; 표지에 코팅; 표지에 박,무선 제본,979-11-90174-77-0,범유진,안전가옥,권서영,박연미,안전가옥,2020.04.30.,홍연화,안전가옥/안전가옥(박연미)-선샤인2쇄20200820
1920,70 I 018,이경민,밀수: 리스트 컨선 (안전가옥 오리지널 5),문학,단행본,2020,128×195,338,1500,랑데뷰; 클라우드; 탄트,오프셋 인쇄; 별색 인쇄; 표지에 코팅; 표지에 박,무선 제본; 띠지; 날개,979-11-90174-79-4,이산화,김미래,주정민,이경민,안전가옥,2020.05.29.,,안전가옥/안전가옥(이경민)-밀수20200518
1921,70 I 019,이경민,못 배운 세계 (안전가옥 오리지널 6),문학,단행본,2020,128×195,288,1500,마닐라지; 클라우드; 매직칼라,오프셋 인쇄; 별색 인쇄; 표지에 박,무선 제본; 띠지; 날개,979-11-90174-86-2,류연웅,김미래,전희수,이경민,안전가옥,2020.08.10.,,안전가옥/안전가옥(이경민)-못배운 세계20200727
1922,70 I 020,O,"그날, 그곳에서 (안전가옥 오리지널 7)",문학,단행본,2021,128×195,424,4500,앙상블; 클라우드; 마블,오프셋 인쇄; 표지에 코팅; 표지에 박,무선 제본,979-11-91193-05-3,이경희,안전가옥,변영근,박연미,안전가옥,2021.01.29.,,안전가옥/안전가옥(박연미)-그날그곳에서 2쇄20210701
1923,70 I 021,O,밤에 찾아오는 구원자 (안전가옥 오리지널 8),문학,단행본,2021,128×195,304,4000,랑데뷰; 클라우드; 밍크,오프셋 인쇄; 별색 인쇄; 표지에 코팅; 표지에 박,무선 제본; 날개,979-11-91193-13-8,천선란,남다름,이지혜,이경민,안전가옥,2021.06.11.,,안전가옥/안전가옥(이경민)-밤에 찾아오는 구원자20210604
1924,70 I 022,O,"세련되게 해결해 드립니다, 백조 세탁소 (안전가옥 오리지널 9)",문학,단행본,2021,128×195,364,4000,랑데뷰; 클라우드; 밍크,오프셋 인쇄; 표지에 코팅,무선 제본,979-11-91193-15-2,이재인,안전가옥,윤예지,박연미,안전가옥,2021.08.20.,홍연화,안전가옥/안전가옥(박연미)-백조세탁소 2쇄20211023
1925,,,머드 (안전가옥 오리지널 10),문학,단행본,2021,128×195,400,1500,랑데뷰; 클라우드; 마테리카,오프셋 인쇄; 별색 인쇄; 표지에 코팅; 표지에 박,무선 제본; 날개,979-11-91193-17-6,이종산,김미래,,이경민,안전가옥,2021.08.27.,,안전가옥/안전가옥(이경민)-머드20210818
1926,70 I 023,O,뒤틀린 집 (안전가옥 오리지널 11),문학,단행본,2021,128×195,308,2500,랑데뷰; 클라우드; 밍크,오프셋 인쇄; 표지에 코팅; 표지에 박; 표지에 형압,무선 제본,979-11-91193-25-1,전건우,남다름,게티이미지코리아,박연미,안전가옥,2021.11.05.,,안전가옥/안전가옥(박연미)-뒤틀린집20211028
